Treatment,Hive,Week,Mites,Bees,Spores,Prevalence,MBBin
F,5,1,1,219,0,0,1
H,6,1,1,173,0,0,1
H,7,1,1,216,0,0,1
H,12,1,1,233,0,0,1
H,13,1,1,248,0,0,1
H,25,1,1,191,0,0,1
H,27,1,1,203,0,0,1
C,11,2,1,206,0,0,1
C,15,2,1,179,0,0,1
C,30,2,1,200,0,0,1
F,17,2,1,196,0,0,1
H,6,2,1,171,0,0,1
H,4,3,1,237,0,0,1
C,6,5,1,242,0,0,1
H,26,5,1,362,0,0,1
C,5,4,2,192,34,1,1
F,4,5,2,237,26,1,1
C,24,5,2,212,14,1,1
F,23,2,2,211,12,1,1
C,24,4,2,260,11,1,1
F,13,1,2,246,9,1,1
C,8,2,2,246,8,1,1
C,26,3,2,172,8,1,1
H,20,1,2,240,6,1,1
C,3,1,2,205,3,1,1
C,23,2,2,206,3,1,1
H,12,3,2,253,3,1,1
H,27,3,2,243,3,1,1
F,2,1,2,182,2,1,1
F,29,1,2,170,2,1,1
C,26,2,2,228,2,1,1
C,27,2,2,217,2,1,1
C,4,5,2,268,2,1,1
H,18,1,2,265,1,1,1
C,20,2,2,258,1,1,1
F,27,2,2,175,1,1,1
F,1,1,2,204,0,0,1
F,27,1,2,203,0,0,1
H,19,1,2,228,0,0,1
H,28,1,2,196,0,0,1
H,7,2,2,189,0,0,1
H,19,2,2,226,0,0,1
F,6,3,2,225,0,0,1
C,5,5,2,266,0,0,1
C,7,5,2,260,0,0,1
C,8,5,2,286,0,0,1
H,6,5,2,248,0,0,1
H,8,5,2,210,0,0,1
C,6,2,3,235,19,1,1
C,18,2,3,225,14,1,1
F,24,2,3,221,13,1,1
C,18,1,3,213,6,1,1
F,7,5,3,221,5,1,1
C,29,3,3,221,2,1,1
C,25,2,3,185,1,1,1
H,9,2,3,266,1,1,1
H,29,2,4,221,33,1,1
F,1,2,4,186,15,1,1
C,19,2,4,240,3,1,1
C,3,5,4,245,3,1,1
F,8,1,4,253,1,1,1
C,16,2,4,202,0,0,1
C,17,2,4,156,0,0,1
C,21,2,4,227,0,0,1
H,12,2,4,215,0,0,1
F,19,2,5,211,12,1,1
H,28,2,5,213,3,1,1
C,1,2,5,175,2,1,1
C,17,1,5,313,0,0,1
F,22,1,5,256,0,0,1
C,2,2,5,240,0,0,1
F,2,2,5,221,0,0,1
H,27,2,6,205,13,1,1
F,6,2,6,191,12,1,1
H,23,2,6,263,6,1,1
C,29,1,6,245,5,1,1
C,7,1,7,212,5,1,1
F,24,1,7,221,4,1,1
C,6,1,7,253,0,0,1
C,29,2,8,179,4,1,1
F,23,1,8,239,0,0,1
F,6,1,9,221,3,1,1
C,19,1,10,252,8,1,1
F,10,2,11,174,0,0,1
H,5,1,18,228,3,1,1
H,23,1,21,214,0,0,1
C,7,2,31,253,14,1,1
C,24,3,,,,,
F,10,3,,,,,
F,12,3,,,,,
H,22,3,,,,,
C,1,5,,,,,
C,17,5,,,,,
C,19,5,,,,,
H,1,5,,,,,
H,7,5,,,,,
H,15,5,,,,,
H,27,5,,,,,
