Hive,Time,Treatment,SporesRaw,DeepBees,DeepBrood,MediumBees,MediumBrood,Bees,Brood,Spores0,Spores1,Spores2,Spores4,Bees4,Brood4,Prev
21,4,N1,2,93,43,73,47,70.955,37.245,,,,,,,1
22,4,N1,1,50,34,62,14,45.77,21.69,,,,,,,1
23,4,N1,2,67,37,70,24,56.95,26.54,,,,,,,1
24,4,N1,0,73,50,72,18,60.62,31.03,,,,,,,0
25,4,N1,0,62,37,69,20,54.115,25.2,,,,,,,0
26,4,N1,3,79,44,69,32,62.615,32.72,,,,,,,1
27,4,N1,0,67,31,86,15,62.31,20.525,,,,,,,0
28,4,N1,13,24,,,,,,,,,,,,1
29,4,N1,7,62,58,52,8,48.42,31.68,,,,,,,1
30,4,N1,6,38,28,22,,26.37,14,,,,,,,1
31,4,F2,30,65,21,86,34,61.31,21.89,,,,,,,1
32,4,F2,14,27,6,62,52,34.27,20.42,,,,,,,1
33,4,F2,1,60,38,56,21,48.76,26.035,,,,,,,1
34,4,F2,23,109,50,64,36,75.94,37.06,,,,,,,1
35,4,F2,4,99,54,96,24,81.66,35.04,,,,,,,1
36,4,F2,4,86,55,78,7,69.13,29.845,,,,,,,1
37,4,F2,0,156,79,116,2,116.86,40.17,,,,,,,0
38,4,F2,2,44,19,106,24,57.51,17.54,,,,,,,1
39,4,F2,0,86,58,68,15,65.78,34.025,,,,,,,0
40,4,F2,5,56,41,69,5,51.115,22.175,,,,,,,1
41,4,N2,0,89,36,102,45,78.67,33.075,,,,,,,0
42,4,N2,,,,,,,,,,,,,,
43,4,N2,7,76,36,87,39,67.145,31.065,,,,,,,1
44,4,N2,3,38,11,55,35,37.425,17.225,,,,,,,1
45,4,N2,34,32,4,23,,23.705,2,,,,,,,1
46,4,N2,3,80,45,99,77,73.165,48.295,,,,,,,1
47,4,N2,8,63,52,63,7,52.605,28.345,,,,,,,1
48,4,N2,5,37,13,5,3,20.175,7.505,,,,,,,1
49,4,N2,,83,41,74,25,66.29,28.875,,,,,,,
50,4,N2,5,79,24,75,6,64.625,14.01,,,,,,,1
